waitTime,numInQueue,sessionTime,daysLeftClean,daysLeft,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
14,3,0.01,5.22,5.22,125.2166667,44444.0,14.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,6,0.0,2.21,2.21,53.03333333,55556.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0.0,2.22,2.22,53.3,44444.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,8,0.02,5.21,5.21,125.0166667,77778.0,14.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,7,0.01,2.21,2.21,52.98333333,88889.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0.01,2.22,2.22,53.31666667,6.775,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,5,0.0,2.21,2.21,53.08333333,22222.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,4,0.02,5.22,5.22,125.2,88889.0,14.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33,2,0.01,2.22,2.22,53.28333333,88889.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,6,0.01,2.2,2.20,52.88333333,55556.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,4,0.01,2.2,2.20,52.83333333,88889.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,4,0.01,2.2,2.20,52.83333333,88889.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2,0.02,5.2,5.20,124.75,88889.0,14.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
